Year,Country,NOC,Total_Medals,GDP
1980,Bulgaria,BUL,41,19839230769.2308
1960,Italy,ITA,36,42012422612.3955
1972,Hungary,HUN,35,7379313742.13684
1988,Bulgaria,BUL,35,22555941176.4706
1968,Hungary,HUN,32,4886222554.66355
1980,Hungary,HUN,32,23116977148.0216
1992,Cuba,CUB,31,22085858243.2432
1992,Hungary,HUN,30,38857339124.9084
2008,Cuba,CUB,30,56302129629.6296
2000,Cuba,CUB,29,30565400000
1964,Italy,ITA,27,65720771779.4768
2004,Cuba,CUB,27,38203000000
2000,Romania,ROU,26,37253739511.1273
1996,Cuba,CUB,25,25017368700
1988,Romania,ROU,24,40424528301.8868
1988,Hungary,HUN,23,29799838597.4079
1996,Ukraine,UKR,23,44558831005.0621
2000,Ukraine,UKR,23,32375083934.8241
1960,Australia,AUS,22,18607682977.2293
1976,Hungary,HUN,22,13235612078.8396
2004,Ukraine,UKR,22,67220154164.3166
1996,Hungary,HUN,21,46833767123.6915
