Year,n_countries,total_medals,mean_medals,median_medals,mean_gdp,median_gdp
1960,34,284,8.352941176470589,2.5,33325808267.109745,9580414560.5436
1964,33,321,9.727272727272727,3,45277391616.35686,11177777777.7778
1968,33,313,9.484848484848484,4,57618666572.64832,13505574133.3333
1972,37,317,8.567567567567568,3,79608941321.71579,20650000000
1976,31,265,8.548387096774194,4,151612635135.10925,44503607444.1687
1980,28,224,8,4,134790571027.2375,64963899721.7588
1984,43,557,12.953488372093023,3,222432219967.94183,58868891334.9941
1988,44,427,9.704545454545455,3.5,354062161350.9063,96387718332.47104
1992,56,676,12.071428571428571,3,414091865002.82336,102894898605.46385
1996,76,832,10.947368421052632,3.5,396814122775.0282,72965810164.62836
2000,77,915,11.883116883116884,5,413640620636.8088,62175642238.0847
2004,71,914,12.873239436619718,6,585393417699.597,135764731645.611
2008,85,948,11.152941176470588,5,708918948563.0074,180383848331.135
2012,84,951,11.321428571428571,4,840863770162.1251,201794614997.51898
2016,81,956,11.802469135802468,5,886851544033.6975,206305431241.638
2020,89,991,11.134831460674157,4,891231941078.4103,158468487754.196
